DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
29-May-2026,EQ,"2,676.10","2,748.20","2,631.60","2,671.90","2,688.00","2,671.60","2,681.80","2,985.70","2,115.00","50,62,328","13,57,61,40,868.00","1,97,390"
27-May-2026,EQ,"2,644.80","2,689.60","2,642.00","2,647.00","2,675.00","2,671.90","2,673.71","2,985.70","2,115.00","8,58,457","2,29,52,61,030.10","65,999"
26-May-2026,EQ,"2,650.00","2,664.30","2,635.90","2,657.80","2,644.40","2,647.00","2,651.13","2,985.70","2,115.00","4,86,267","1,28,91,55,442.60","49,205"
25-May-2026,EQ,"2,672.00","2,684.10","2,653.20","2,639.80","2,658.00","2,657.80","2,666.88","2,985.70","2,115.00","8,15,621","2,17,51,64,617.60","47,927"
22-May-2026,EQ,"2,606.10","2,664.70","2,600.20","2,598.80","2,636.70","2,639.80","2,649.05","2,985.70","2,115.00","15,56,434","4,12,30,78,772.60","1,10,095"
21-May-2026,EQ,"2,625.00","2,648.30","2,590.80","2,598.60","2,597.00","2,598.80","2,616.59","2,985.70","2,115.00","10,31,843","2,69,99,11,404.90","1,02,329"
20-May-2026,EQ,"2,562.00","2,614.00","2,562.00","2,600.70","2,605.00","2,598.60","2,600.30","2,985.70","2,115.00","5,86,190","1,52,42,72,270.20","57,060"
19-May-2026,EQ,"2,629.00","2,646.00","2,595.10","2,614.00","2,597.60","2,600.70","2,618.66","2,985.70","2,115.00","6,88,639","1,80,33,09,833.70","61,364"
18-May-2026,EQ,"2,580.10","2,619.40","2,556.00","2,605.60","2,605.60","2,614.00","2,600.14","2,985.70","2,115.00","8,98,479","2,33,61,73,106.10","65,182"
15-May-2026,EQ,"2,622.20","2,640.00","2,592.80","2,622.20","2,609.00","2,605.60","2,611.89","2,985.70","2,115.00","7,96,240","2,07,96,94,121.20","61,996"
14-May-2026,EQ,"2,620.00","2,665.70","2,610.00","2,617.60","2,614.00","2,622.20","2,631.80","2,985.70","2,115.00","10,40,916","2,73,94,87,168.90","85,789"
13-May-2026,EQ,"2,554.00","2,642.40","2,554.00","2,505.50","2,615.00","2,617.60","2,612.46","2,985.70","2,115.00","35,15,018","9,18,28,47,668.20","1,89,152"
12-May-2026,EQ,"2,546.20","2,555.70","2,500.00","2,566.10","2,508.00","2,505.50","2,517.05","2,985.70","2,115.00","6,28,802","1,58,27,28,545.00","71,887"
11-May-2026,EQ,"2,578.90","2,607.90","2,555.00","2,599.90","2,568.00","2,566.10","2,580.82","2,985.70","2,115.00","12,71,257","3,28,08,81,847.70","73,675"
08-May-2026,EQ,"2,540.00","2,607.40","2,515.40","2,530.60","2,600.00","2,599.90","2,587.57","2,985.70","2,115.00","23,27,900","6,02,35,99,214.60","1,22,821"
07-May-2026,EQ,"2,534.60","2,555.80","2,511.30","2,519.00","2,536.00","2,530.60","2,530.96","2,985.70","2,115.00","10,53,513","2,66,63,98,925.50","73,147"
06-May-2026,EQ,"2,460.00","2,529.00","2,440.40","2,430.00","2,525.10","2,519.00","2,497.06","2,985.70","2,115.00","13,95,987","3,48,58,58,852.70","87,394"
05-May-2026,EQ,"2,430.00","2,454.90","2,415.00","2,448.10","2,432.50","2,430.00","2,430.45","2,985.70","2,115.00","3,27,682","79,64,15,379.20","42,428"
04-May-2026,EQ,"2,460.00","2,507.00","2,442.30","2,444.50","2,448.00","2,448.10","2,471.81","2,985.70","2,115.00","5,81,159","1,43,65,13,239.40","75,287"
