DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
01-Aug-2025,EQ,"533.00","547.70","531.90","529.00","536.35","534.35","539.31","672.00","433.30","80,42,006","4,33,71,50,106.75","93,791"
31-Jul-2025,EQ,"518.30","531.75","517.15","522.00","529.20","529.00","527.71","672.00","433.30","30,24,718","1,59,61,78,202.85","73,448"
30-Jul-2025,EQ,"519.05","523.25","517.60","518.30","520.80","522.00","521.76","672.00","433.30","16,16,247","84,32,92,681.15","30,568"
29-Jul-2025,EQ,"524.65","525.60","514.65","522.00","518.50","518.30","518.78","672.00","433.30","26,46,055","1,37,27,15,267.30","40,765"
28-Jul-2025,EQ,"507.00","523.95","507.00","511.35","523.05","522.00","519.39","672.00","433.30","27,59,206","1,43,31,10,246.10","38,078"
25-Jul-2025,EQ,"512.00","514.00","508.35","512.55","511.50","511.35","511.45","672.00","433.30","21,32,786","1,09,08,06,864.00","27,368"
24-Jul-2025,EQ,"516.90","516.90","511.00","513.85","512.80","512.55","512.54","672.00","433.30","37,15,595","1,90,43,74,050.30","35,433"
23-Jul-2025,EQ,"517.75","518.50","510.85","515.05","513.30","513.85","512.98","672.00","433.30","18,98,497","97,38,92,286.10","28,363"
22-Jul-2025,EQ,"515.45","516.50","511.00","514.55","514.90","515.05","514.00","672.00","433.30","14,71,884","75,65,48,592.50","28,798"
21-Jul-2025,EQ,"520.10","522.15","513.40","522.60","514.95","514.55","518.03","672.00","433.30","11,72,175","60,72,24,335.80","19,752"
18-Jul-2025,EQ,"522.45","523.40","518.35","528.70","522.90","522.60","520.83","672.00","433.30","16,16,139","84,17,26,854.10","28,838"
17-Jul-2025,EQ,"530.00","531.70","526.55","527.95","527.15","528.70","529.31","672.00","433.30","15,37,940","81,40,41,285.20","42,831"
16-Jul-2025,EQ,"527.00","530.35","525.10","527.00","528.00","527.95","528.10","672.00","433.30","23,01,562","1,21,54,54,420.75","35,125"
15-Jul-2025,EQ,"526.50","528.90","523.15","526.20","527.00","527.00","525.69","672.00","433.30","12,43,559","65,37,28,510.95","30,378"
14-Jul-2025,EQ,"533.50","536.50","524.55","530.85","526.50","526.20","528.08","672.00","433.30","14,28,794","75,45,14,727.95","39,163"
11-Jul-2025,EQ,"521.50","535.90","518.60","522.40","535.00","530.85","529.10","672.00","433.30","45,12,466","2,38,75,39,002.90","68,368"
10-Jul-2025,EQ,"523.70","524.40","517.85","522.15","521.85","522.40","521.38","672.00","433.30","22,72,923","1,18,50,62,094.10","30,448"
09-Jul-2025,EQ,"511.00","523.45","511.00","513.10","521.50","522.15","520.81","672.00","433.30","34,33,335","1,78,81,23,390.75","53,550"
08-Jul-2025,EQ,"512.50","514.40","510.50","512.75","514.00","513.10","512.68","672.00","433.30","19,95,221","1,02,29,04,612.20","31,056"
07-Jul-2025,EQ,"501.90","517.70","496.05","495.10","512.50","512.75","512.26","672.00","433.30","1,00,17,201","5,13,14,53,151.80","1,20,184"
04-Jul-2025,EQ,"493.00","497.40","491.60","491.60","495.00","495.10","494.97","672.00","433.30","28,57,925","1,41,45,95,195.90","38,616"
03-Jul-2025,EQ,"489.50","492.95","487.50","487.55","492.00","491.60","491.11","672.00","433.30","29,76,302","1,46,16,99,443.75","35,726"
02-Jul-2025,EQ,"484.80","488.40","479.40","482.40","487.25","487.55","484.94","672.00","433.30","23,58,163","1,14,35,65,768.50","21,907"
