DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
29-May-2026,EQ,"445.45","455.00","440.10","445.45","450.00","443.40","443.59","577.00","403.35","1,30,72,946","5,79,90,61,307.85","52,026"
27-May-2026,EQ,"440.75","447.00","440.30","447.60","445.55","445.45","443.62","577.00","403.35","12,95,057","57,45,16,070.85","21,064"
26-May-2026,EQ,"447.20","449.10","445.20","447.20","447.00","447.60","447.09","577.00","403.35","11,54,362","51,61,08,914.20","21,585"
25-May-2026,EQ,"453.40","455.75","446.25","451.05","447.45","447.20","449.69","577.00","403.35","8,79,387","39,54,48,835.30","18,195"
22-May-2026,EQ,"448.00","454.65","445.70","446.85","450.60","451.05","450.98","577.00","403.35","9,70,954","43,78,80,867.85","16,891"
21-May-2026,EQ,"453.00","454.10","443.60","450.90","445.15","446.85","447.11","577.00","403.35","25,89,322","1,15,77,10,280.35","56,130"
20-May-2026,EQ,"449.80","453.00","445.55","452.80","449.75","450.90","449.46","577.00","403.35","8,54,233","38,39,46,942.20","16,064"
19-May-2026,EQ,"456.35","462.25","451.50","456.35","451.55","452.80","457.16","577.00","403.35","12,22,771","55,90,03,804.25","26,802"
18-May-2026,EQ,"466.80","466.80","453.90","467.70","456.05","456.35","457.15","577.00","403.35","11,77,536","53,83,16,465.25","21,845"
15-May-2026,EQ,"465.30","471.50","460.50","464.75","466.05","467.70","467.70","577.00","403.35","9,32,763","43,62,55,118.90","18,138"
14-May-2026,EQ,"467.00","469.90","457.85","463.10","464.05","464.75","464.84","577.00","403.35","19,01,251","88,37,73,901.00","36,094"
13-May-2026,EQ,"480.80","480.80","461.60","473.25","463.00","463.10","467.36","577.00","403.35","24,95,630","1,16,63,50,736.05","36,018"
12-May-2026,EQ,"472.75","476.25","469.55","473.45","472.75","473.25","473.27","577.00","403.35","21,95,129","1,03,88,96,562.95","44,140"
11-May-2026,EQ,"485.00","485.00","471.20","487.70","471.20","473.45","477.51","577.00","403.35","20,33,029","97,07,85,091.95","52,350"
08-May-2026,EQ,"485.00","490.50","469.10","470.00","487.00","487.70","482.36","577.00","403.35","1,18,60,370","5,72,09,67,468.00","1,27,442"
07-May-2026,EQ,"469.35","474.50","461.10","466.25","467.00","470.00","468.55","577.00","403.35","28,31,472","1,32,66,74,599.90","37,853"
06-May-2026,EQ,"465.00","468.00","458.60","460.55","467.90","466.25","464.38","577.00","403.35","29,06,897","1,34,99,05,335.05","82,609"
05-May-2026,EQ,"446.80","462.20","445.85","445.65","462.00","460.55","456.04","577.00","403.35","27,42,900","1,25,08,72,957.95","49,682"
04-May-2026,EQ,"445.00","450.90","443.00","441.50","445.10","445.65","446.84","577.00","403.35","10,46,716","46,77,14,616.00","33,901"
30-Apr-2026,EQ,"456.00","456.00","440.35","456.00","442.95","441.50","444.36","577.00","403.35","14,48,773","64,37,71,942.95","28,357"
