DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
01-Jun-2026,EQ,"749.00","752.35","739.20","744.55","742.50","742.70","743.70","2,037.70","726.65","4,79,96,441","35,69,50,84,062.85","3,64,744"
29-May-2026,EQ,"746.05","760.50","737.75","758.65","747.25","744.55","747.79","2,037.70","726.65","10,12,99,431","75,75,03,25,248.25","5,82,913"
27-May-2026,EQ,"769.50","773.90","756.90","778.90","759.15","758.65","762.18","2,037.70","726.65","6,36,80,153","48,53,57,04,652.80","6,03,423"
26-May-2026,EQ,"784.05","790.85","776.75","786.85","780.25","778.90","783.86","2,037.70","726.65","3,15,28,062","24,71,34,57,734.45","2,68,365"
25-May-2026,EQ,"776.00","787.85","775.20","766.80","787.45","786.85","783.84","2,037.70","726.65","2,60,43,952","20,41,43,23,481.90","3,40,237"
22-May-2026,EQ,"759.15","775.00","759.15","759.15","769.00","766.80","768.46","2,037.70","726.65","2,56,04,071","19,67,56,29,937.40","2,54,373"
21-May-2026,EQ,"767.00","768.25","755.15","759.50","758.80","759.15","760.54","2,037.70","726.65","3,46,64,725","26,36,39,66,148.40","3,00,382"
20-May-2026,EQ,"759.60","762.25","755.15","762.45","760.10","759.50","759.21","2,037.70","726.65","2,40,13,451","18,23,12,01,059.00","3,34,493"
19-May-2026,EQ,"766.70","770.80","760.25","768.65","762.80","762.45","765.85","2,037.70","726.65","4,03,07,830","30,86,96,53,333.95","4,14,780"
18-May-2026,EQ,"759.00","774.10","751.35","767.50","768.80","768.65","765.63","2,037.70","726.65","2,98,12,079","22,82,50,15,390.55","3,96,597"
15-May-2026,EQ,"773.00","781.90","765.40","769.55","770.00","767.50","774.13","2,037.70","726.65","2,43,47,873","18,84,84,26,198.20","2,68,604"
14-May-2026,EQ,"751.00","778.30","747.00","749.60","770.10","769.55","767.26","2,037.70","726.65","5,09,92,358","39,12,46,47,345.10","5,21,121"
13-May-2026,EQ,"752.00","759.95","747.35","750.45","749.15","749.60","752.96","2,037.70","726.65","2,89,60,919","21,80,63,58,980.45","3,95,816"
12-May-2026,EQ,"756.60","759.70","747.80","763.65","755.00","750.45","753.71","2,037.70","726.65","4,39,37,132","33,11,58,12,661.00","7,82,428"
11-May-2026,EQ,"771.95","774.85","761.90","780.85","766.25","763.65","769.20","2,037.70","726.65","4,11,23,422","31,63,23,11,080.15","4,46,831"
08-May-2026,EQ,"784.00","788.75","777.20","796.05","781.00","780.85","781.63","2,037.70","726.65","3,80,16,841","29,71,52,55,302.00","3,86,448"
07-May-2026,EQ,"794.00","801.55","788.55","796.55","795.55","796.05","795.15","2,037.70","726.65","4,61,37,553","36,68,63,70,164.65","3,69,255"
06-May-2026,EQ,"775.15","798.95","773.50","772.30","796.00","796.55","785.36","2,037.70","726.65","3,55,30,831","27,90,44,17,066.50","4,02,081"
05-May-2026,EQ,"774.40","776.90","763.70","779.40","773.20","772.30","771.31","2,037.70","726.65","3,88,87,657","29,99,43,77,836.65","4,91,093"
04-May-2026,EQ,"772.60","786.60","772.60","771.70","779.50","779.40","779.72","2,037.70","726.65","2,90,28,060","22,63,37,11,388.45","3,82,758"
