DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
27-May-2026,EQ,"386.95","391.80","378.50","385.10","386.00","383.85","382.83","509.00","306.30","66,74,566","2,55,52,44,781.45","87,294"
26-May-2026,EQ,"394.70","398.25","383.40","395.65","385.90","385.10","388.84","509.00","306.30","77,30,325","3,00,58,89,232.40","97,448"
25-May-2026,EQ,"386.00","399.35","386.00","382.95","394.60","395.65","395.86","509.00","306.30","1,17,62,656","4,65,63,08,312.70","1,37,944"
22-May-2026,EQ,"380.00","389.00","374.55","379.90","385.00","382.95","380.25","509.00","306.30","97,63,844","3,71,27,39,291.90","79,014"
21-May-2026,EQ,"386.70","388.50","378.80","379.70","380.20","379.90","383.41","509.00","306.30","73,15,842","2,80,49,87,420.70","88,007"
20-May-2026,EQ,"373.50","381.80","370.80","378.65","379.90","379.70","375.38","509.00","306.30","70,48,290","2,64,57,91,426.65","1,15,502"
19-May-2026,EQ,"381.00","383.30","371.55","379.80","378.70","378.65","378.04","509.00","306.30","97,70,792","3,69,37,70,732.95","1,71,654"
18-May-2026,EQ,"373.00","383.65","365.90","377.95","381.00","379.80","374.99","509.00","306.30","1,14,21,572","4,28,30,23,570.55","1,88,414"
15-May-2026,EQ,"378.00","390.65","376.00","379.45","378.50","377.95","381.48","509.00","306.30","1,01,02,864","3,85,40,15,959.85","1,19,945"
14-May-2026,EQ,"393.85","396.00","367.50","384.25","379.75","379.45","379.38","509.00","306.30","2,87,49,428","10,90,70,08,236.20","4,93,983"
13-May-2026,EQ,"388.25","392.85","378.20","387.05","384.70","384.25","384.77","509.00","306.30","1,32,75,144","5,10,78,30,743.30","3,37,552"
12-May-2026,EQ,"411.00","414.80","384.85","411.00","388.30","387.05","395.60","509.00","306.30","97,09,672","3,84,11,22,704.95","2,55,966"
11-May-2026,EQ,"425.50","425.50","410.00","431.00","413.00","411.00","414.65","509.00","306.30","67,40,611","2,79,50,27,997.85","1,44,492"
08-May-2026,EQ,"430.00","437.50","426.00","434.05","431.35","431.00","432.92","509.00","306.30","68,52,510","2,96,66,04,664.40","96,287"
07-May-2026,EQ,"432.00","437.80","428.55","429.75","434.30","434.05","433.18","509.00","306.30","74,14,254","3,21,16,90,063.80","1,09,374"
06-May-2026,EQ,"410.00","433.00","407.85","406.55","431.15","429.75","420.99","509.00","306.30","1,23,59,531","5,20,32,99,797.35","1,34,296"
05-May-2026,EQ,"412.00","413.25","404.50","412.90","407.15","406.55","407.25","509.00","306.30","42,63,070","1,73,61,33,894.60","71,202"
04-May-2026,EQ,"415.00","418.05","407.50","409.90","412.10","412.90","411.38","509.00","306.30","65,26,849","2,68,49,83,475.20","1,03,975"
30-Apr-2026,EQ,"416.50","416.70","403.90","416.95","410.00","409.90","409.45","509.00","306.30","58,46,832","2,39,39,69,286.45","92,160"
29-Apr-2026,EQ,"424.00","427.95","414.10","418.30","416.75","416.95","420.19","509.00","306.30","73,76,675","3,09,95,77,545.20","1,24,153"
28-Apr-2026,EQ,"420.75","428.15","416.45","420.75","419.00","418.30","422.03","509.00","306.30","59,42,917","2,50,80,91,012.80","96,350"
